t_min,ticker,name,description,launchpad,liquidity_eth,liq_growth,deployer,holders,linked_groups,selling_linked,true_multiple_path,theme_hint,_pair_address,_token_address,_dex,_source
5,PUMP,Pump,,dexscreener,5623.7692,0.7004,,[],[],0,"[1.0, 2.274, 1.7777, 2.9774, 4.5883, 3.9832, 5.463, 7.1682, 6.9437, 8.3127, 7.273, 8.9815, 9.3262, 9.7205, 11.9413, 11.8054, 13.3472, 14.1042, 14.2539, 15.0]",sol,6dKxRHbrxMFb2Vu5zSWBurWNzHL6RRkZSmG1jotXQbgd,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,meteora,dexscreener
10,brick,brickstring,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 0.9827, 1.1974, 1.1779, 1.5723, 1.6479, 2.0719, 1.8227, 2.4983, 2.2993, 2.5092, 2.4615, 2.8914, 2.9809, 3.2663, 3.4705, 3.5739, 3.4796, 3.5831, 3.92]",,8MoDyx4ysy5Wcd3MTMMj1nCvJ88ni9aLSzHXf29PcGbF,4xGLW7ZzQXj1UfA1HtsjwDvQf8XoGvvhMYYx9x33pump,pumpfun,dexscreener
15,comrade,comrade,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 1.0161, 0.9381, 0.9751, 0.9797, 0.9419, 0.9409, 0.9182, 0.8747, 0.8377, 0.8927, 0.8865, 0.7871, 0.8126, 0.7807, 0.7889, 0.8158, 0.738, 0.7137, 0.72]",,Gzd8uBAm2Q8hkCitoZH82k42hbknmPPeLBhjnSPF3PVU,CahoLMbXxyfX7C5UVeRKFrNSUysiXdq2x2u27D66pump,pumpfun,dexscreener
20,Birkin,Birkin,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 0.9475, 0.9192, 0.9085, 1.0068, 0.9586, 0.9779, 0.8974, 0.9255, 0.8643, 0.9282, 0.87, 0.8928, 0.827, 0.8786, 0.8606, 0.7553, 0.7352, 0.8132, 0.7643]",,DAzidxPnHPYYP9xUQczJfvbcicHEZRo7JfwAGCHVPMQ5,EjdSHfdgTSvraKco5nDz1d9rX7W1wosKVG5MTwQ2sBM2,pumpfun,dexscreener
25,WIF,catwifbirkin,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 1.1913, 1.728, 1.7592, 2.0647, 2.0737, 1.926, 2.5364, 2.5564, 2.686, 2.9829, 2.971, 3.0196, 3.4293, 3.4315, 3.8822, 4.2302, 4.4403, 4.5738, 4.66]",pet,BM9rZhKpBX8WJxZV5xqY9QoU3fFE3TG9kem6puGEQ1nu,8G7aM6Gco4fHjVpmVvUdVvhKMKaWXJEqkCKRvPdepump,pumpfun,dexscreener
30,Birkin,Birkin Bag,,dexscreener,12.4844,0.7,,[],[],0,"[1.0, 0.9399, 1.1078, 1.3661, 1.4509, 1.4943, 1.6721, 1.5274, 1.8646, 1.8095, 1.9155, 1.7812, 1.9624, 2.2113, 2.4064, 2.3197, 2.2002, 2.6056, 2.6729, 2.66]",,9FWjAp9iDjPozcR1N6tyFzLPrbTvn8FVj5m22T3pbCLW,9eECz3PAyTTYr1YR8B41EAzGCk6bQW6BkFMovLpCpump,pumpswap,dexscreener
35,wife,wife,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 0.9843, 1.0497, 1.1025, 1.0743, 1.0173, 1.131, 1.1465, 1.1512, 1.2175, 1.3184, 1.2468, 1.2727, 1.3105, 1.2674, 1.2314, 1.3823, 1.4724, 1.3729, 1.4273]",pet,6jDWoucXUtajp2Y6vkRc4feJEbkpDY3PRbWYCcLLcsUA,6x8nA5P6XYJhwtS2XodDKUte5hA8E88xrPsqNAyuFJpr,pumpfun,dexscreener
40,ICM,Internet Callout Money,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 2.027, 1.7591, 3.3582, 3.2727, 3.1947, 4.1582, 4.8998, 5.6501, 5.4658, 7.6629, 7.9043, 8.3478, 9.4876, 8.9495, 8.9937, 11.256, 11.2433, 11.5482, 12.22]",,VcU7mEFTfM3HDta4KcgyxFuDDCkPJyBMhQcULBs76UQ,7yJG5f4zJseh6VUGmxTHSGma8eLXJWQh5K4GygU6pump,pumpfun,dexscreener
45,solfun,solfun,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 1.2663, 2.9198, 2.1391, 3.9287, 3.3485, 5.1781, 5.382, 6.1389, 7.0135, 8.7723, 8.9664, 8.3509, 10.7735, 9.8888, 10.2887, 11.3984, 13.343, 12.7485, 13.81]",sol,81NYmc3KTwBD74zCNdj6khP4h1j77fPtRjSwT8uf4ihV,6cv61jKje9MazgEFeR8SQcjbT8eNGvov36nGSex3pump,pumpfun,dexscreener
50,Candle,Test Your Candle,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 1.0588, 1.042, 1.0515, 1.0742, 1.0257, 0.9897, 1.1801, 1.0588, 1.1031, 1.1199, 1.1727, 1.1637, 1.1794, 1.2307, 1.1896, 1.1973, 1.199, 1.3331, 1.2546]",,DK9xbkDQJWkuzMpibTqJLvvvZf8biHo3PCuPg4Xzomb9,7yWoqfhCpKJYUw8kxDbsipgVWDMqwZo8qPdQxtmApump,pumpfun,dexscreener
