t_min,ticker,name,description,launchpad,liquidity_eth,liq_growth,deployer,holders,linked_groups,selling_linked,true_multiple_path,theme_hint,_pair_address,_token_address,_dex,_source
5,PUMP,Pump,,dexscreener,5623.7692,0.7004,,[],[],0,"[1.0, 1.0147, 1.8015, 2.9655, 4.7244, 5.2452, 6.1204, 6.3169, 6.8144, 6.9548, 7.528, 8.4961, 9.6704, 10.157, 11.5026, 12.5653, 13.3477, 13.14, 15.0931, 15.0]",sol,6dKxRHbrxMFb2Vu5zSWBurWNzHL6RRkZSmG1jotXQbgd,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,meteora,dexscreener
10,PUMP,Pump,,dexscreener,5.9861,0.862,,[],[],0,"[1.0, 0.9521, 0.9581, 0.9904, 1.0644, 1.0518, 1.064, 1.0288, 1.0146, 0.9754, 0.9665, 0.9852, 1.0183, 1.0033, 1.0483, 1.0736, 1.0793, 1.0159, 1.1034, 1.0479]",sol,H7odUfcTxMX318u58aLGkZ2TRQ11kLDHTJcwqzBp3RbA,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,orca,dexscreener
15,Apollo,Justice For Apollo,,dexscreener,5.6091,0.7,,[],[],0,"[1.0, 0.9648, 1.0009, 0.9367, 0.949, 0.8813, 0.859, 0.9114, 0.8587, 0.8187, 0.8588, 0.8084, 0.7917, 0.7567, 0.7442, 0.7306, 0.6818, 0.6704, 0.7126, 0.6696]",,3N58ik3tgVncpckqWPryqLECYwxG3qRzxi1JWbexmmnw,CLd4sKq53pWpjqwaUG3EBnqFMf8242GnZqvPyyqepump,pumpswap,dexscreener
20,brick,brickstring,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 1.4023, 1.3973, 1.2104, 1.6386, 1.9938, 2.1129, 2.2591, 2.4273, 2.4066, 2.6356, 2.9482, 2.8563, 3.2181, 3.4346, 3.5324, 3.593, 3.7552, 4.1417, 4.05]",,8MoDyx4ysy5Wcd3MTMMj1nCvJ88ni9aLSzHXf29PcGbF,4xGLW7ZzQXj1UfA1HtsjwDvQf8XoGvvhMYYx9x33pump,pumpfun,dexscreener
25,Nigga,NiggaCoin,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 1.1377, 2.1705, 2.0479, 3.0522, 3.9445, 5.1336, 4.2918, 6.1826, 5.6214, 6.7603, 6.5817, 7.3084, 8.3737, 9.2594, 9.3116, 9.7748, 11.4759, 12.1233, 12.22]",,E4yVwUbh6t8K4reWB88ZRGZ146Nut69ue6wNGgaxkAAG,GbYwBpr7USaSfpFZrrFE3ccWNpwFJjv5fJFbL8Pjpump,pumpfun,dexscreener
30,comrade,comrade,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 0.9651, 0.9265, 0.9741, 0.9738, 0.8773, 0.9094, 0.8519, 0.8617, 0.8678, 0.8755, 0.8411, 0.8472, 0.8358, 0.7328, 0.7986, 0.7957, 0.7245, 0.6925, 0.7031]",,Gzd8uBAm2Q8hkCitoZH82k42hbknmPPeLBhjnSPF3PVU,CahoLMbXxyfX7C5UVeRKFrNSUysiXdq2x2u27D66pump,pumpfun,dexscreener
35,Birkin,Birkin,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 0.9845, 1.0163, 1.0017, 0.9308, 0.9322, 0.9031, 0.9129, 0.9282, 0.942, 0.8768, 0.9186, 0.8557, 0.8627, 0.7951, 0.8278, 0.79, 0.8111, 0.7742, 0.7643]",,DAzidxPnHPYYP9xUQczJfvbcicHEZRo7JfwAGCHVPMQ5,EjdSHfdgTSvraKco5nDz1d9rX7W1wosKVG5MTwQ2sBM2,pumpfun,dexscreener
40,WIF,catwifbirkin,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 1.0908, 1.6572, 1.3481, 1.7534, 1.9257, 2.0664, 2.3355, 2.1259, 2.6108, 2.9882, 2.9338, 3.0941, 3.1094, 3.4169, 3.6762, 4.2063, 3.8572, 4.4451, 4.42]",pet,BM9rZhKpBX8WJxZV5xqY9QoU3fFE3TG9kem6puGEQ1nu,8G7aM6Gco4fHjVpmVvUdVvhKMKaWXJEqkCKRvPdepump,pumpfun,dexscreener
45,Birkin,Birkin Bag,,dexscreener,13.4709,0.7,,[],[],0,"[1.0, 1.1573, 1.2288, 1.2107, 1.3511, 1.5233, 1.6435, 1.9837, 2.0191, 2.0048, 2.2926, 2.281, 2.0723, 2.2819, 2.331, 2.4883, 2.6645, 2.9879, 3.054, 3.06]",,9FWjAp9iDjPozcR1N6tyFzLPrbTvn8FVj5m22T3pbCLW,9eECz3PAyTTYr1YR8B41EAzGCk6bQW6BkFMovLpCpump,pumpswap,dexscreener
50,wife,wife,,dexscreener,0.0,0.7,,[],[],0,"[1.0, 0.9291, 1.0168, 1.0981, 0.9963, 1.085, 1.0756, 1.1953, 1.1207, 1.0969, 1.0889, 1.2757, 1.2098, 1.2242, 1.2603, 1.2653, 1.3515, 1.2859, 1.2923, 1.3342]",pet,6jDWoucXUtajp2Y6vkRc4feJEbkpDY3PRbWYCcLLcsUA,6x8nA5P6XYJhwtS2XodDKUte5hA8E88xrPsqNAyuFJpr,pumpfun,dexscreener
